flight_id,airline_code,airline_name,alliance,flight_numbers,origin,origin_city,destination,destination_city,departure_utc,arrival_utc,duration_minutes,stops,layover_airports,layover_minutes,cabin_class,price,currency,seats_available,aircraft_type,on_time_performance,baggage_included,refundable,demand_level,season,is_holiday_season
F000001,NH,ANA,star,NH1954,MAA,Chennai,IST,Istanbul,2026-05-23T16:15:00Z,2026-05-24T00:15:00Z,480,0,,0,Economy,764.05,USD,3,A330-300,93,True,True,medium,shoulder,False
F000101,NH,ANA,star,NH5319;NH3542,PVG,Shanghai,HKG,Hong Kong,2025-07-21T09:10:00Z,2025-07-22T10:57:00Z,1547,1,FRA,117,Business,584.78,USD,4,A321neo,78,True,True,high,summer_peak,False
F000201,TK,Turkish Airlines,star,TK3947,JFK,New York,MAA,Chennai,2025-05-14T21:25:00Z,2025-05-15T14:55:00Z,1050,0,,0,Economy,1419.02,USD,5,A320neo,89,True,False,medium,shoulder,False
F000301,AF,Air France,skyteam,AF6929;AF7326;AF4226,BKK,Bangkok,BCN,Barcelona,2026-02-07T14:40:00Z,2026-02-09T04:04:00Z,2244,2,SFO;JFK,396,Economy,516.2,USD,8,A350-900,76,True,False,low,winter_low,False
F000401,DL,Delta,skyteam,DL5300,ICN,Seoul,BOM,Mumbai,2025-06-18T22:50:00Z,2025-06-19T06:25:00Z,455,0,,0,Economy,898.69,USD,5,A321neo,80,True,False,high,summer_peak,False
F000501,LH,Lufthansa,star,LH4004;LH779,DOH,Doha,SYD,Sydney,2025-01-17T16:00:00Z,2025-01-18T12:56:00Z,1256,1,SIN,239,Economy,940.32,USD,7,E190,80,False,False,low,winter_low,False
F000601,KL,KLM,skyteam,KL1154;KL5851,SIN,Singapore,FRA,Frankfurt,2026-06-29T07:55:00Z,2026-06-30T16:53:00Z,1978,1,SFO,194,Economy,1119.91,USD,4,B737-800,74,False,True,high,summer_peak,False
F000701,TK,Turkish Airlines,star,TK6625,DOH,Doha,AKL,Auckland,2026-05-01T07:05:00Z,2026-05-02T01:55:00Z,1130,0,,0,Economy,1463.77,USD,3,E190,88,True,False,medium,shoulder,False
F000801,TG,Thai Airways,star,TG8965;TG7457,PEK,Beijing,GIG,Rio de Janeiro,2025-04-27T02:00:00Z,2025-04-28T03:23:00Z,1523,1,DOH,117,Economy,1254.47,USD,3,B767-300,86,True,False,medium,shoulder,False
F000901,SQ,Singapore Airlines,star,SQ4648,HKG,Hong Kong,DOH,Doha,2025-06-12T11:30:00Z,2025-06-12T20:01:00Z,511,0,,0,Business,3603.51,USD,4,A330-300,87,True,True,high,summer_peak,False
F001001,DL,Delta,skyteam,DL576,LHR,London,ORD,Chicago,2025-10-19T18:25:00Z,2025-10-20T03:00:00Z,515,0,,0,First,3611.31,USD,9,A320neo,86,True,True,medium,shoulder,False
F001101,UA,United Airlines,star,UA354,SFO,San Francisco,HKG,Hong Kong,2026-06-25T00:05:00Z,2026-06-25T14:39:00Z,874,0,,0,Economy,1625.82,USD,7,A380-800,82,False,False,high,summer_peak,False
F001201,AA,American Airlines,oneworld,AA5067;AA8046,ORD,Chicago,PVG,Shanghai,2025-12-09T17:50:00Z,2025-12-10T17:46:00Z,1436,1,IST,96,Economy,884.72,USD,8,B777-300ER,82,True,False,medium,shoulder,False
F001301,AA,American Airlines,oneworld,AA5507,MEX,Mexico City,IST,Istanbul,2026-05-29T04:50:00Z,2026-05-29T19:44:00Z,894,0,,0,Economy,1199.51,USD,6,A380-800,84,True,True,medium,shoulder,False
F001401,CX,Cathay Pacific,oneworld,CX3647,AKL,Auckland,GIG,Rio de Janeiro,2025-12-03T17:45:00Z,2025-12-04T09:44:00Z,959,0,,0,Economy,2034.69,USD,6,B787-9,86,False,False,high,summer_peak,False
F001501,TG,Thai Airways,star,TG8188;TG5733;TG5256,ORD,Chicago,SYD,Sydney,2026-04-26T11:10:00Z,2026-04-27T22:59:00Z,2149,2,SFO;HKG,419,Economy,842.5,USD,6,B737-800,78,False,False,medium,shoulder,False
F001601,CX,Cathay Pacific,oneworld,CX2113,DEL,Delhi,SFO,San Francisco,2025-01-06T18:50:00Z,2025-01-07T10:58:00Z,968,0,,0,Business,3993.63,USD,9,A320neo,96,True,True,low,winter_low,False
